${article_no},${value}
10337619,C11010701
10337690,C11010601
10337691,C11010801
10337620,C11011901
10337621,C11011902
"10337710
10337712",C11011903
"10337692
10337693",C11011401
10337622,C11011501
10337625,C11011101
10337605,C06010301
10337561,C06010302
10337611,C09010202
10337684,C06110201
"10337707
10337708",C06120301
10337686,C06140502
10337613,C06140501
10337578,C09100601
10337584,C09030601
10337585,C09060303
10337586,C14010701
10337590,C09010701
"10337794
10337795
10337796",C09030701
10337739,C01010216
10337747,C09010201
10337740,C06011101
"10337766
10337287
10337261
10337303
10337304
10337305",C02010612
10337266,C02140101
10337302,C02010613
"10337279
10337277",C02010614
"10337565
10337566",C18080101
10337567,C18080301
10337568,C18080302
"10337569
10337570",C18080501
10337571,C18080601
"10337771
10337574
10337575",C18060701
"10337576
10337577",C18080701
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
