${article_no},${value}
10337354,C03030301
"10337373
10337377",C03040103
10337364,C03040104
"10337365
10337366",C03040105
"10337369
10337370",C03040110
10337376,C03040112
"10337362
10337391",C03040201
10337380,C03040202
10337375,C03040206
10337368,C03040207
"10337385
10337386
10337387
10337388
10337389
10337390
10337392",C03040212
10337371,C03040301
10337372,C03040401
10337381,C03050909
10337353,C03051001
"10337352
10337378
10337379",C03051102
10337356,C03051401
10337355,C03051405
10337357,C03051805
