${no},${level_approve},${round},${field},${value},${uuid},${type_field}
1,A2,NR1,สินค้าทองคำ,Test,eaeb4bb9-0a23-439a-a642-ba56bf151b06,input text
2,A2,NR1,ประเภทแบรนด์,01: แบรนด์ของ Vendor,eea0047f-38ea-4ea5-ade3-47f9576782ee,drop down
3,A2,NR1,สินค้าฤดูกาล (สินค้าที่ขายในช่วงที่เป็นฤดูกาลขายมมากกว่าการขายปกติ),มกราคม,de3f4f40-141e-434f-a1a0-1c1c8ee1c79c,check box
4,A2,NR1,หมายเหตุการขาย,Test,c4ee0c1f-2489-4a11-ba8b-b010d701945b,input text
5,A2,NR1,สินค้าต้องแปรสภาพ,01: แปรสภาพใช้สูตร,5fae4a1f-9dd4-4151-aed2-2af2fc79a6e7,drop down
6,A2,NR2,คำขยายของตัวสินค้า,Test,00e936a0-4817-4852-84fc-9bde5823df65,input text
7,A2,NR2,ช่วงระยะเวลาที่ขาย (เดือนที่เป็นช่วงการขายของสินค้าเทศกาลนั้นๆ),มกราคม,cbbf7ee2-0b3e-46c1-8598-e2ad37e009c6,check box
8,A2,NR2,กรรมสิทธิ์ของตัวโชว์,D: ตัวโชว์ Dohome,83c976bf-32e8-42ba-b2ac-17c4e04acae3,drop down
9,A2,NR2,เงื่อนไขการรับประกัน,Test,24b50355-96f2-4409-ad6b-c57989a1ebc9,inpu text
10,A2,NR2,กลุ่มจัดซื้อต่างประเทศ,201: คุณหทัยพันธน์,9d5a006a-a64b-45b2-b77d-edb75712b954,drop down
11,A2,NR3,รหัสสินค้าเดิมที่ยกเลิกขาย,Test,10a463ad-7b70-4d9a-9a8f-618176aa3bb4,input text
12,A2,NR3,อายุขั้นต่ำที่แนะนำให้รับสินค้า,1234,21fdaede-a880-4520-8a8f-64a395f0998a,input number
13,A2,NR3,สถานะสินค้า Active / Inactive (Item Status),A: Active,d48870c0-87d0-4278-b860-a4054a6cda69,drop down
14,A2,NR3,สินค้าที่ต้องระบุ batch (Batch management),,ac424a83-5387-401d-b8e9-78b294901d4b,check box
15,A2,NR3,พิกัดศุลกากร (Comm./imp. code no.),Test,deb87581-ae77-470e-8f76-517db894722e,input text
16,A2,NR4,ส่วนประกอบตัวลูกตัวแม่ (components),1234,d00d18d5-af5f-4b79-a87e-7ee3bfea0195,input number
17,A2,NR4,หน่วยน้ำหนักคู่ขนาน (Content unit),: Inchx,9faa62f5-7482-41b5-9e90-835cab1a2279,drop down
18,A2,NR4,กลุ่มสินค้า Core หลัก /เสริม (Product Role),01: Core,dcad006c-af57-4226-8e7c-1db348d6930d,drop down
19,A2,NR4,ประเทศต้นทางนำเข้า (Ctry of origin),AE: ประเทศเอมิเรตส์,12c7c566-75c8-4fdc-9247-60bc40466aba,drop down
20,A2,NR4,วันที่ต้องการที่จะขาย (First Sale Date),10/12/2024,d13a7611-81be-44d0-8544-de35dbc37fc6,input text
21,A2,NR5,น้ำหนักต่ำสุด หน่วยคู่ขนาน (Gross contents ),1234,56cbb34b-e291-429a-8fd7-d1db2b6258eb,input number
22,A2,NR5,เลขที่สำหรับวัตถุอันตราย (Haz. artl no.),Test,fea6397a-24f9-46bd-a5f9-29516495a33c,input text
23,A2,NR5,HB/Non HB,01: Non House brand,d0504e07-92e9-4a17-8f86-e9b1d52a4a55,drop down
