No.,Cat,Article,Article Name,MC2,MC5,Cat.,Remark
10,เครื่องมือช่างและฮาร์ดแวร์,10337766,UAT-ปั๊มลม+มอเตอร์ 5 HP *220V NASH,DJJ: เครื่องมือช่าง,DJJ020702: ปั๊มลมลูกสูบ,C02010612,new cat.
11,เครื่องมือช่างและฮาร์ดแวร์,10337266,"UAT-รถเข็นปูน 12"" ล้อแม็กคู่ น้ำเงิน NAS",DII: ฮาร์ดแวร์,DII060602: รถเข็นปูน,C02140101,new cat.
12,เครื่องมือช่างและฮาร์ดแวร์,10337287,UAT-เครื่องยนต์ 12HP CP120DI NASH,DJJ: เครื่องมือช่าง,DJJ020703: ปั๊มลมโรตารี่,C02010612,new cat.
16,เครื่องมือช่างและฮาร์ดแวร์,10337261,UAT-ปั๊มลมโรตารี่ 2.5HP 24ลิตร NASH,DJJ: เครื่องมือช่าง,DJJ020703: ปั๊มลมโรตารี่,C02010612,new cat.
17,เครื่องมือช่างและฮาร์ดแวร์,10337279,UAT-ลวดเชื่อมเหล็กหล่อ 3.2 มิล # 55 GEMI,DJJ: เครื่องมือช่าง,DJJ020107: ลวดเชื่อม,C02010614,new cat.
18,เครื่องมือช่างและฮาร์ดแวร์,10337277,UAT-ลวดเชื่อมมิก 0.8มม.THE SUN ม้วน15 ก,DJJ: เครื่องมือช่าง,DJJ020107: ลวดเชื่อม,C02010614,new cat.
27,เครื่องมือช่างและฮาร์ดแวร์,10337302,UAT-เหล็กส่งตะปู DT0523-341 NASH แพ็ค4,DJJ: เครื่องมือช่าง,DJJ031204: เหล็กเจาะ สลัก,C02010613,new cat.
28,เครื่องมือช่างและฮาร์ดแวร์,10337303,"UAT-บอลวาล์วปั้มลม 1/4""F-8H NASH",DJJ: เครื่องมือช่าง,DJJ020704: อล.และอุปกรณ์ลม,C02010612,new cat.
29,เครื่องมือช่างและฮาร์ดแวร์,10337304,"UAT-บอลวาล์วปั๊มลม 1/4"" 8H-8H EUROX",DJJ: เครื่องมือช่าง,DJJ020704: อล.และอุปกรณ์ลม,C02010612,new cat.
30,เครื่องมือช่างและฮาร์ดแวร์,10337305,UAT-ข้อต่อคอปเปอร์2ทางตรง เกียวใน 2W-B N,DJJ: เครื่องมือช่าง,DJJ020704: อล.และอุปกรณ์ลม,C02010612,new cat.
32,วัสดุก่อสร้าง,10337307,UAT-ลอนคู่ 5*1.20ม. #ขาว ไม่ใยหิน,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020101,new cat.
33,วัสดุก่อสร้าง,10337308,UAT-ครอบ-ยทป โค้ง 4 ทาง แดงดาหลา,DZD: ก่อสร้าง-อื่นๆ,DZD010103: อปก.มุงหลังคา,C08020801,new cat.
35,วัสดุก่อสร้าง,10337335,UAT-รั้วตาข่ายแรงดึง #13สูง1.65ม*50ม หัว,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08100202,new cat.
36,วัสดุก่อสร้าง,10337310,UAT-ครอบ-ลค 3ทางT #น้ำตาล,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020802,new cat.
37,วัสดุก่อสร้าง,10337311,UAT-ครอบ-ลค 3ทางT #ส.ศิลาแลง,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020802,new cat.
38,วัสดุก่อสร้าง,10337312,UAT-ครอบ-ลค ปรับมุมบน-ล่าง #เขียวประกาย,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020802,new cat.
39,วัสดุก่อสร้าง,10337313,UAT-ครอบ-ลค ปิดจั่วปรับมุม #แดง,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020802,new cat.
40,วัสดุก่อสร้าง,10337314,UAT-ลอนคู่ 4*1.50ม. ส้มศิลาแลง ไม่มีใยหิ,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020101,new cat.
41,วัสดุก่อสร้าง,10337315,UAT-ลอนคู่ 4*1.50ม. น้ำเงินคราม ไม่มีใยห,DZD: ก่อสร้าง-อื่นๆ,DZD010101: กระเบื้องAC,C08020101,new cat.
